total de voitures,Ménages sans voiture,Ménages avec une voiture,Ménages avec deux voitures ou plus,Ménages avec place(s) de stationnement,Nombre total d'accidents,Nombre de personnes tuées,Nombre de personnes indemnes,Nombre de personnes blessées, - dont blessés graves, - dont blessés légers,ville,lien
161.0,75.0,91.0,70.0,146.0,,,,,,,Charmé (16140),/management/ville/charme/ville-16083
41.0,19.0,23.0,18.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,Clermont-les-Fermes (02340),/management/ville/clermont-les-fermes/ville-02200
177.0,21.0,54.0,123.0,172.0,1.0,1.0,0.0,0.0,0.0,0.0,Saint-Éloi (01800),/management/ville/saint-eloi/ville-01349
620.0,77.0,244.0,376.0,508.0,1.0,0.0,0.0,1.0,1.0,0.0,Ambérieux-en-Dombes (01330),/management/ville/amberieux-en-dombes/ville-01005
84.0,24.0,32.0,51.0,77.0,,,,,,,Villers-Hélon (02600),/management/ville/villers-helon/ville-02812
100.0,30.0,37.0,63.0,92.0,,,,,,,Fouillouse (05130),/management/ville/fouillouse/ville-05057
89.0,15.0,23.0,66.0,75.0,,,,,,,Thorrenc (07340),/management/ville/thorrenc/ville-07321
133.0,66.0,67.0,65.0,101.0,1.0,0.0,2.0,3.0,1.0,2.0,Sorbier (03220),/management/ville/sorbier/ville-03274
43.0,28.0,23.0,20.0,33.0,1.0,0.0,0.0,1.0,0.0,1.0,Encourtiech (09200),/management/ville/encourtiech/ville-09110
200.0,54.0,77.0,123.0,170.0,2.0,0.0,1.0,6.0,5.0,1.0,Arras-sur-Rhône (07370),/management/ville/arras-sur-rhone/ville-07015
71.0,26.0,44.0,27.0,54.0,,,,,,,Spoy (10200),/management/ville/spoy/ville-10374
46.0,19.0,20.0,26.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,Champfleury (10700),/management/ville/champfleury/ville-10075
1172.0,173.0,387.0,785.0,1078.0,4.0,1.0,8.0,3.0,3.0,0.0,Druelle Balsac (12000),/management/ville/druelle-balsac/ville-12090
2174.0,455.0,895.0,1279.0,1921.0,2.0,0.0,1.0,5.0,4.0,1.0,Saint-Cannat (13760),/management/ville/saint-cannat/ville-13091
118.0,52.0,50.0,68.0,99.0,1.0,0.0,0.0,3.0,1.0,2.0,Cayrols (15290),/management/ville/cayrols/ville-15030
582.0,160.0,259.0,324.0,535.0,1.0,0.0,1.0,2.0,2.0,0.0,Sablonceaux (17600),/management/ville/sablonceaux/ville-17307
57.0,16.0,28.0,29.0,54.0,,,,,,,Agudelle (17500),/management/ville/agudelle/ville-17002
38.0,27.0,19.0,19.0,24.0,1.0,0.0,2.0,1.0,1.0,0.0,Montigny-sur-Meuse (08170),/management/ville/montigny-sur-meuse/ville-08304
147.0,105.0,69.0,78.0,119.0,1.0,0.0,0.0,1.0,0.0,1.0,Ajat (24210),/management/ville/ajat/ville-24004
188.0,127.0,95.0,94.0,185.0,1.0,0.0,2.0,1.0,1.0,0.0,Le Cambout (22210),/management/ville/le-cambout/ville-22027
91.0,9.0,30.0,61.0,76.0,1.0,0.0,0.0,1.0,1.0,0.0,Montmançon (21270),/management/ville/montmancon/ville-21437
46.0,12.0,19.0,27.0,44.0,1.0,0.0,1.0,1.0,1.0,0.0,Bretigney-Notre-Dame (25110),/management/ville/bretigney-notre-dame/ville-25094
301.0,209.0,136.0,165.0,288.0,1.0,0.0,1.0,1.0,1.0,0.0,Masseret (19510),/management/ville/masseret/ville-19129
63.0,44.0,29.0,34.0,58.0,,,,,,,Mazerolles-du-Razès (11240),/management/ville/mazerolles-du-razes/ville-11228
64.0,38.0,35.0,29.0,38.0,1.0,1.0,1.0,0.0,0.0,0.0,Rampieux (24440),/management/ville/rampieux/ville-24347
1137.0,1610.0,631.0,506.0,1015.0,1.0,0.0,1.0,1.0,0.0,1.0,Trégastel (22730),/management/ville/tregastel/ville-22353
16.0,14.0,11.0,5.0,13.0,,,,,,,Champrenault (21690),/management/ville/champrenault/ville-21141
172.0,72.0,90.0,82.0,122.0,1.0,0.0,1.0,1.0,1.0,0.0,Lison (14330),/management/ville/lison/ville-14367
85.0,23.0,31.0,54.0,81.0,1.0,0.0,1.0,1.0,1.0,0.0,Lapan (18340),/management/ville/lapan/ville-18122
58.0,24.0,20.0,38.0,60.0,,,,,,,Monthiers (02400),/management/ville/monthiers/ville-02509
146.0,95.0,66.0,80.0,93.0,,,,,,,Charras (16380),/management/ville/charras/ville-16084
124.0,54.0,45.0,79.0,95.0,1.0,1.0,1.0,0.0,0.0,0.0,Cœuvres-et-Valsery (02600),/management/ville/coeuvres-et-valsery/ville-02201
991.0,156.0,408.0,583.0,884.0,3.0,0.0,5.0,4.0,3.0,1.0,Saint-Étienne-du-Bois (01370),/management/ville/saint-etienne-du-bois/ville-01350
364.0,59.0,199.0,165.0,263.0,1.0,0.0,0.0,1.0,0.0,1.0,Fontaine-les-Grès (10280),/management/ville/fontaine-les-gres/ville-10151
67.0,95.0,45.0,22.0,46.0,1.0,0.0,0.0,1.0,1.0,0.0,Saint-Jacques-en-Valgodemard (05800),/management/ville/saint-jacques-en-valgodemard/ville-05144
63.0,117.0,34.0,29.0,50.0,1.0,0.0,0.0,3.0,3.0,0.0,Marchastel (15400),/management/ville/marchastel/ville-15116
248.0,130.0,108.0,140.0,210.0,1.0,0.0,0.0,1.0,1.0,0.0,Celles (24600),/management/ville/celles/ville-24090
57.0,58.0,33.0,24.0,49.0,1.0,0.0,2.0,1.0,1.0,0.0,Ceyroux (23210),/management/ville/ceyroux/ville-23042
34.0,39.0,16.0,17.0,29.0,1.0,0.0,0.0,2.0,1.0,1.0,Le Caire (04250),/management/ville/le-caire/ville-04037
557.0,254.0,340.0,217.0,408.0,1.0,1.0,1.0,0.0,0.0,0.0,Alzonne (11170),/management/ville/alzonne/ville-11009
90.0,38.0,32.0,58.0,70.0,1.0,0.0,0.0,2.0,0.0,2.0,Chapeau (03340),/management/ville/chapeau/ville-03054
71.0,16.0,19.0,52.0,68.0,,,,,,,Ouffières (14220),/management/ville/ouffieres/ville-14483
